,formula,classifier,rel_l2_distance,success,estimated_formula,training_time
0,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),False,0.031061198972040238,False,-0.001*x0**2 + 0.004*x0*sin(0.332*x0**2 + 0.002*x0 - 2.416) - 2.465*x0*sqrt(Abs(1.683*x0**2 - 0.176*x0)) - 0.281*x0 + 0.761*sin(0.332*x0**2 + 0.002*x0 - 2.416)*sqrt(Abs(1.683*x0**2 - 0.176*x0)) - 0.127*sin(0.332*x0**2 + 0.002*x0 - 2.416) + 1.039*sqrt(Abs(1.683*x0**2 - 0.176*x0)) - 0.018,6.817607164382935
1,1.467*x0*sin(5.534*x0) - 1.496*x0*sqrt(Abs(4.588*x0**2 - 4.297*x0 + 6.576)),True,0.041804476810005174,False,-3.806*x0*sqrt(Abs(0.715*x0**2 - 0.64*x0 + 0.575)),7.441012144088745
2,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,False,0.505490050659847,False,-0.003*x0**2 + 0.124*x0*sin(-0.972*x0**2 + 1.443*x0 + 0.037) - 0.02*x0*sqrt(Abs(-0.102*x0**2 + 0.819*x0 + 0.798)) + 0.011*x0 + 1.443*sin(-0.972*x0**2 + 1.443*x0 + 0.037)*sqrt(Abs(-0.102*x0**2 + 0.819*x0 + 0.798)) - 3.07*sin(-0.972*x0**2 + 1.443*x0 + 0.037) - 0.189*sqrt(Abs(-0.102*x0**2 + 0.819*x0 + 0.798)) + 3.82,7.801125526428223
3,3.22*sin(2.353*x0**2 + 2.933*x0 + 2.831) + 3.461,True,0.49455106233051316,False,1.329*sin(2.484*x0**2 + 1.381*x0 + 0.363) + 3.469,4.433395147323608
4,-2.154*sin(3.248*x0**2) - 1.467,False,7.5384643540072785e-06,True,-0.01*x0*sin(3.248*x0**2) - 0.011*x0*sqrt(Abs(0.001*x0**2 + 0.014*x0 + 0.07)) + 0.006*x0 + 0.395*sin(3.248*x0**2)*sqrt(Abs(0.001*x0**2 + 0.014*x0 + 0.07)) - 2.258*sin(3.248*x0**2) - 0.096*sqrt(Abs(0.001*x0**2 + 0.014*x0 + 0.07)) - 1.442,7.702316999435425
5,-2.154*sin(3.248*x0**2) - 1.467,True,0.7152002008156377,False,-0.586*sin(0.047*x0**2) - 1.198,1.812361240386963
6,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),False,0.6956370164048529,False,0.197*x0**2 - 0.019*x0*sin(0.09*x0**2 + 0.62*x0 - 0.152) - 0.102*x0*sqrt(Abs(-0.915*x0**2 + 0.006*x0 + 0.534)) + 0.687*x0 - 0.782*sin(0.09*x0**2 + 0.62*x0 - 0.152)*sqrt(Abs(-0.915*x0**2 + 0.006*x0 + 0.534)) + 0.027*sin(0.09*x0**2 + 0.62*x0 - 0.152) - 1.65*sqrt(Abs(-0.915*x0**2 + 0.006*x0 + 0.534)) + 1.377,9.11353087425232
7,5.409*sin(1.72*x0)*sqrt(Abs(0.084*x0 + 2.365)) - 3.842*sin(1.72*x0),True,0.04475077224536196,False,-2.158*sin(1.72*x0)*sqrt(Abs(0.128*x0 - 0.951)) + 6.411*sin(1.72*x0),5.655851602554321
8,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),False,0.07314713236220528,False,-0.602*x0**2 + 2.255*x0*sin(0.047*x0**2 + 0.355*x0 + 2.563) + 0.727*x0*sqrt(Abs(1.332*x0**2 + 1.704*x0 - 0.244)) - 6.667*x0 - 1.532*sin(0.047*x0**2 + 0.355*x0 + 2.563)*sqrt(Abs(1.332*x0**2 + 1.704*x0 - 0.244)) + 1.201*sin(0.047*x0**2 + 0.355*x0 + 2.563) + 4.312*sqrt(Abs(1.332*x0**2 + 1.704*x0 - 0.244)) - 2.879,11.85286021232605
9,-3.77*sin(0.577*x0)*sqrt(Abs(0.981*x0 - 2.192)),True,1.2472102859337751e-07,True,-4.437*sin(0.577*x0)*sqrt(Abs(0.708*x0 - 1.582)),11.583781003952026
10,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),False,0.35715687741576313,False,-0.138*x0**2 - 0.214*x0*sin(0.094*x0**2 + 2.347*x0 - 8.061) + 0.086*x0*sqrt(Abs(-0.256*x0**2 + 0.834*x0 + 1.617)) + 0.249*x0 + 1.159*sin(0.094*x0**2 + 2.347*x0 - 8.061)*sqrt(Abs(-0.256*x0**2 + 0.834*x0 + 1.617)) - 1.012*sin(0.094*x0**2 + 2.347*x0 - 8.061) + 4.169*sqrt(Abs(-0.256*x0**2 + 0.834*x0 + 1.617)) - 4.662,10.304883241653442
11,-0.067*x0*sin(0.964*x0) + 1.83104227012923*sin(0.964*x0)*sqrt(Abs(x0)),True,0.9314881378899824,False,-1.634*sin(1.386*x0)*sqrt(Abs(0.02*x0 - 0.797)),5.566646337509155
12,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,False,0.07011980954576992,False,0.002*x0**2 - 0.287*x0*sin(1.666*x0**2 + 0.399*x0 - 4.519) + 0.011*x0*sqrt(Abs(-0.018*x0**2 + 0.022*x0 + 0.166)) - 2.008*x0 - 0.45*sin(1.666*x0**2 + 0.399*x0 - 4.519)*sqrt(Abs(-0.018*x0**2 + 0.022*x0 + 0.166)) + 0.778*sin(1.666*x0**2 + 0.399*x0 - 4.519) - 0.115*sqrt(Abs(-0.018*x0**2 + 0.022*x0 + 0.166)) - 0.015,11.056255578994751
13,-0.351*x0*sin(1.645*x0**2) - 1.998*x0,True,7.83752532411047e-07,True,0.351*x0*sin(1.645*x0**2 - 3.142) - 1.998*x0,6.990346670150757
