,formula,classifier,rel_l2_distance,success,estimated_formula,training_time
0,-0.646*sin(0.489*x0**2 - 0.335) - 1.402*sqrt(Abs(2.005*x0**2 + 0.162*x0 - 2.645)),False,2.0464335839825903e-07,True,-0.646*sin(0.489*x0**2 - 0.335) - 3.158*sqrt(Abs(0.396*x0**2 + 0.032*x0 - 0.522)),94.44445323944092
1,-0.646*sin(0.489*x0**2 - 0.335) - 1.402*sqrt(Abs(2.005*x0**2 + 0.162*x0 - 2.645)),True,7.66073196546144e-08,True,-0.646*sin(0.489*x0**2 - 0.335) - 2.647*sqrt(Abs(0.563*x0**2 + 0.045*x0 - 0.742)),91.49151062965393
2,0.662*x0*sin(2.396*x0**2),False,0.7057381324068625,False,-0.001*x0**2 - 0.387*x0*sin(-2.445*x0**2 + 0.664*x0 + 4.241) + 0.023*x0*sqrt(Abs(0.042*x0**2 + 0.071*x0 - 0.203)) - 0.025*x0 - 1.056*sin(-2.445*x0**2 + 0.664*x0 + 4.241)*sqrt(Abs(0.042*x0**2 + 0.071*x0 - 0.203)) - 0.275*sin(-2.445*x0**2 + 0.664*x0 + 4.241) - 0.008,78.45653080940247
3,0.662*x0*sin(2.396*x0**2),True,9.800420643882203e-06,True,0.662*x0*sin(2.396*x0**2),23.730942487716675
4,-2.814*x0*sin(1.989*x0**2 - 2.091*x0 + 3.974) + 1.703*sin(1.989*x0**2 - 2.091*x0 + 3.974),False,0.38050938068586126,False,-0.043*x0**2 - 0.434*x0*sin(1.994*x0**2 - 1.893*x0 + 5.212) - 0.008*x0*sqrt(Abs(0.053*x0**2 + 3.349*x0 - 0.912)) + 6.074*sin(1.994*x0**2 - 1.893*x0 + 5.212)*sqrt(Abs(0.053*x0**2 + 3.349*x0 - 0.912)) - 10.849*sin(1.994*x0**2 - 1.893*x0 + 5.212) + 1.207*sqrt(Abs(0.053*x0**2 + 3.349*x0 - 0.912)) - 3.539,77.97640442848206
5,-2.814*x0*sin(1.989*x0**2 - 2.091*x0 + 3.974) + 1.703*sin(1.989*x0**2 - 2.091*x0 + 3.974),True,0.600962878425927,False,-0.19*x0*sin(-1.959*x0**2 + 2.637*x0 + 1.518) + 2.923*sin(-1.959*x0**2 + 2.637*x0 + 1.518)*sqrt(Abs(-1.261*x0**2 + 5.676*x0 + 3.564)) - 7.55*sin(-1.959*x0**2 + 2.637*x0 + 1.518),83.16794991493225
6,-4.552*x0 + 4.581*sin(-5.523*x0**2 + 3.47*x0 + 0.942),False,0.10782267675771522,False,-0.004*x0**2 + 0.188*x0*sin(-5.375*x0**2 + 1.549*x0 + 0.197) + 0.013*x0*sqrt(Abs(0.035*x0**2 + 0.27*x0 - 0.31)) - 4.593*x0 + 1.261*sin(-5.375*x0**2 + 1.549*x0 + 0.197)*sqrt(Abs(0.035*x0**2 + 0.27*x0 - 0.31)) - 0.059*sin(-5.375*x0**2 + 1.549*x0 + 0.197) + 0.058*sqrt(Abs(0.035*x0**2 + 0.27*x0 - 0.31)) + 0.06,38069.145616054535
7,-4.552*x0 + 4.581*sin(-5.523*x0**2 + 3.47*x0 + 0.942),True,0.11900344401396602,False,-4.586*x0 + 0.935*sin(-1.214*x0**2 + 0.521*x0 + 0.425),69.23488187789917
8,0.944*x0*sin(2.042*x0**2 + 5.451*x0 + 3.97) + 0.548*x0,False,0.5206030468414301,False,0.007*x0**2 - 0.164*x0*sin(1.925*x0**2 + 3.726*x0 - 5.252) + 0.032*x0*sqrt(Abs(-0.067*x0**2 + 0.329*x0 + 1.012)) + 0.508*x0 + 3.75*sin(1.925*x0**2 + 3.726*x0 - 5.252)*sqrt(Abs(-0.067*x0**2 + 0.329*x0 + 1.012)) - 3.209*sin(1.925*x0**2 + 3.726*x0 - 5.252) + 0.083*sqrt(Abs(-0.067*x0**2 + 0.329*x0 + 1.012)) - 0.239,87.97044467926025
9,0.944*x0*sin(2.042*x0**2 + 5.451*x0 + 3.97) + 0.548*x0,True,6.50072940355586e-06,True,0.944*x0*sin(2.042*x0**2 + 5.451*x0 - 2.314) + 0.548*x0,53.162304401397705
10,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),False,6.801867573957802e-08,True,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),133.16854619979858
11,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),True,6.857701965513255e-08,True,-2.189*x0**2 - 2.828*sin(0.188*x0**2 + 0.63),115.49458813667297
12,4.771*x0**2 + 0.831*sin(-0.744*x0**2 + 0.859*x0 + 1.292),False,0.0028132843199390736,False,4.771*x0**2,137.7617859840393
13,4.771*x0**2 + 0.831*sin(-0.744*x0**2 + 0.859*x0 + 1.292),True,0.002813284319966245,False,4.771*x0**2,84.06773066520691
