,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_12_5,q2*Ef,1.0*x0*x1,7.43917944727718e-08,7.80362273439737e-08,7.700939847193187e-08,0.9999999999999939,0.9999999999999941,True,9.874,13,1,7.701180187177881e-08,0.9999999999999941,0.9999999999999939,1.0*x0*x1,7516
1,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_13_12,G*m1*m2*(1/r2-1/r1),(-1.0*x0*x1*x2*x4 + 1.0*x0*x1*x3*x4 + 0.001*x0*x3**2 - 0.001*x1**2*x3*x4 - 0.001*x1*x2**2*x3 - 0.001*x1*x2*x4 + 0.001*x1*x3*x4 + 0.001*x2**2*x4**2 + 0.001*x2**2 - 0.001*x2*x3**2 - 0.001*x3**2*x4**2 - 0.001*x3**2*x4 + 0.001*x3*x4**2)/(0.001*x0 + 0.001*x1 - 1.0*x2*x3 - 0.001*x2 - 0.001*x3 - 0.002),3.142019053753065e-05,4.5432764274368166e-05,4.454199136079796e-05,0.9999999981735744,0.999999998016011,True,188.686,142,3,7.621818482558014e-08,0.9999999999999942,0.9999999999999942,-1.0*(-1.0*x0*x1*x2*x4 + 1.0*x0*x1*x3*x4)/(x2*x3),77762
2,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_13_4,1/2*m*(v**2+u**2+w**2),0.5*x0*x1**2 + 0.5*x0*x2**2 + 0.5*x0*x3**2,9.580443230688535e-08,9.66846660366098e-08,9.665020463216776e-08,0.9999999999999906,0.9999999999999907,True,17.257,66,3,9.671788040407483e-08,0.9999999999999907,0.9999999999999905,0.5*x0*x1**2 + 0.5*x0*x2**2 + 0.5*x0*x3**2,8896
3,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_14_3,m*g*z,1.0*x0*x1*x2,8.091018851861893e-08,7.990243304261205e-08,7.905405727961952e-08,0.9999999999999937,0.9999999999999938,True,10.417,32,1,7.905074610077446e-08,0.9999999999999938,0.9999999999999934,1.0*x0*x1*x2,7064
4,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_14_4,1/2*k_spring*x**2,0.5*x0*x1**2,1.0824530096883833e-07,1.0331202010794461e-07,1.0527111412048144e-07,0.9999999999999893,0.9999999999999889,True,8.765,13,1,1.052711141929806e-07,0.9999999999999889,0.9999999999999895,0.5*x0*x1**2,7300
5,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_15_10,[],-0.001*x0**2*x2 - 0.052*x0**2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.062*x0**2 + 0.001*x0*x1*x2 + 0.728*x0*x1*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.256*x0*x1 - 0.142*x0*x2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.147*x0*x2 + 0.003*x0 + 0.004*x1**3 - 0.004*x1**2*x2 + 0.042*x1**2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.001*x1*x2**2 + 0.018*x1*x2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.002*x1*x2 - 0.082*x2**2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.086*x2**2 - 0.002*x2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) - 0.001*x2 + 0.001*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.002,0.00023191815954555235,0.00023645571134822642,0.00025457198166256963,0.9999999405661592,0.9999999351931061,False,3882.309,50,50,0.00025457198166256963,0.9999999351931061,0.9999999399842239,-0.001*x0**2*x2 - 0.052*x0**2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.062*x0**2 + 0.001*x0*x1*x2 + 0.728*x0*x1*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.256*x0*x1 - 0.142*x0*x2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.147*x0*x2 + 0.003*x0 + 0.004*x1**3 - 0.004*x1**2*x2 + 0.042*x1**2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.001*x1*x2**2 + 0.018*x1*x2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.002*x1*x2 - 0.082*x2**2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.086*x2**2 - 0.002*x2*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) - 0.001*x2 + 0.001*exp((0.012*x0**2 + 0.002*x0*x1 + 0.008*x0*x2 + 0.164*x1**2 + 0.161*x1*x2 + 0.001*x1 + 0.028*x2**2)/(0.013*x0**2 - 0.039*x0*x1 + 0.006*x0*x2 + 0.035*x0 + 0.146*x1**2 - 0.62*x1*x2 - 0.072*x1 + 0.765*x2**2 - 0.011*x2 + 0.003)) + 0.002,998525
6,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_15_3t,(t-u*x/c**2)/sqrt(1-u**2/c**2),0.002*x0**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) - 0.002*x0**2 + 0.001*x0*x1*x2 + 0.006*x0*x1*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) + 0.004*x0*x1 - 0.001*x0*x2*x3 - 0.01*x0*x2 - 0.004*x0*x3*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) + 0.003*x0*x3 - 0.151*x0*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) - 0.001*x1**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) - 0.002*x1**2 + 0.002*x1*x2**2 + 0.001*x1*x2*x3 - 0.008*x1*x2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) + 0.002*x1*x2 + 0.004*x1*x3*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) + 0.013*x1 - 0.007*x2**2*x3 + 0.011*x2**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) + 0.078*x2*x3*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) - 0.001*x2*x3 - 0.001*x2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) - 0.012*x2 + 0.001*x3**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.013*x3 + 0.622))) + 0.983*x3,0.0007451382581021675,0.0009677643192359241,0.0009356023108785899,0.9999990925816071,0.9999991246483159,False,4824.173,70,67,0.000875439672714496,0.9999992336053795,0.9999990716321622,0.003*x0**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) - 0.002*x0**2 + 0.001*x0*x1*x2 + 0.006*x0*x1*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) + 0.005*x0*x1 - 0.001*x0*x2*x3 + 0.001*x0*x2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) - 0.01*x0*x2 - 0.004*x0*x3*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) + 0.003*x0*x3 - 0.151*x0*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) - 0.003*x1**2 + 0.001*x1*x2**2 + 0.001*x1*x2*x3 - 0.007*x1*x2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) + 0.002*x1*x2 + 0.004*x1*x3*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) + 0.013*x1 - 0.007*x2**2*x3 + 0.012*x2**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) + 0.079*x2*x3*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) - 0.001*x2*x3 - 0.001*x2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) - 0.012*x2 + 0.001*x3**2*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))) + 0.983*x3 - 0.001*sqrt(Abs((-0.021*x0 + 0.004*x1 + 0.415*x2 + 0.008*x3)/(0.03*x0*x1 - 0.019*x0*x2 + 0.001*x0*x3 - 0.049*x0 - 0.192*x1**2 + 0.404*x1*x2 - 0.016*x1*x3 + 0.052*x1 - 0.097*x2**2 + 0.021*x2*x3 - 0.63*x2 - 0.001*x3**2 + 0.012*x3 + 0.622))),820353
7,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_15_3x,(x-u*t)/sqrt(1-u**2/c**2),(0.002*x0**3*x1 - 0.001*x0**3*x2 - 0.001*x0**3*x3 + 0.008*x0**3 - 0.004*x0**2*x1**2 - 0.007*x0**2*x1*x3 + 0.036*x0**2*x1 + 0.002*x0**2*x2*x3 - 0.02*x0**2*x2 - 0.002*x0**2*x3**2 - 0.009*x0**2 - 0.025*x0*x1**3 + 0.01*x0*x1**2*x2 - 0.015*x0*x1**2*x3 - 0.001*x0*x1*x2**2 + 0.012*x0*x1*x2*x3 - 0.003*x0*x1*x2 - 0.005*x0*x1*x3**2 + 0.001*x0*x1*x3 - 0.004*x0*x1 - 0.891*x0*x2**2 + 0.001*x0*x2*x3 + 0.004*x0*x2 + 0.006*x0*x3**3 + 0.003*x0*x3**2 + 0.002*x0*x3 + 0.006*x0 + 0.003*x1**3*x2 - 0.005*x1**3*x3 - 0.007*x1**3 - 0.003*x1**2*x2**2 + 0.002*x1**2*x2*x3 + 0.014*x1**2*x2 + 0.003*x1**2*x3**2 - 0.011*x1**2*x3 + 0.006*x1**2 + 0.893*x1*x2**2*x3 + 0.003*x1*x2**2 + 0.004*x1*x2*x3**2 + 0.002*x1*x2*x3 - 0.004*x1*x3**3 + 0.001*x1*x3**2 + 0.01*x1*x3 + 0.002*x2**2*x3**2 - 0.006*x2**2*x3 - 0.002*x2**2 - 0.005*x2*x3**3 - 0.003*x2*x3**2 - 0.009*x2*x3 - 0.006*x2 + 0.007*x3**3 + 0.002*x3**2 - 0.008*x3 - 0.004)/(0.006*x0**2 + 0.044*x0*x1 - 0.024*x0*x2 - 0.007*x0*x3 + 0.01*x0 + 0.454*x1**2 - 0.006*x1*x2 - 0.003*x1*x3 - 0.005*x1 - 0.89*x2**2 + 0.006*x2*x3 + 0.002*x3 + 0.004),0.0007254007082425839,0.0007235677593040112,0.0007027597286420184,0.9999994392962424,0.9999995061287638,False,4803.193,81,14,0.0006248014287298147,0.9999996096231747,0.9999995864122545,(0.058*x0**2*x1 - 0.006*x0**2*x2 - 0.003*x0*x1**3 + 0.001*x0*x1**2*x2 - 0.059*x0*x1**2*x3 + 0.009*x0*x1*x2*x3 - 0.879*x0*x2**2 + 0.01*x1**2*x2 - 0.022*x1**2*x3 + 0.878*x1*x2**2*x3)/(0.049*x0*x1 - 0.005*x0*x2 + 0.473*x1**2 - 0.88*x2**2),831299
8,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_16_6,(u+v)/(1+u*v/c**2),(-0.708*x0**2*x1 - 0.707*x0**2*x2 + 0.001*x0*x1*x2)/(-0.707*x0**2 - 0.707*x1*x2),1.7061402358533323e-05,1.8649553001359945e-05,1.848149151371981e-05,0.9999999996450945,0.9999999996584344,True,72.018,30,4,7.234224208202634e-08,0.9999999999999948,0.9999999999999948,(-0.707*x0**2*x1 - 0.707*x0**2*x2)/(-0.707*x0**2 - 0.707*x1*x2),45114
9,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,feynman_I_18_12,r*F*sin(theta),1.0*x0*x1*cos(1.0*x2 - 1.571),4.207860775368436e-08,4.4227364110779806e-08,4.4085667400684626e-08,0.9999999999999981,0.999999999999998,True,815.059,34,3,4.400736012039831e-08,0.9999999999999981,0.9999999999999981,1.0*x0*x1*cos(1.0*x2 - 1.571),356174
