,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_11_3,q*Ef/(m*(omega_0**2-omega**2)),(-0.006*x0**2 - 0.57*x0*x1 - 0.019*x0*x3 - 0.002*x0 + 0.006*x1**2 - 0.009*x1*x3 + 0.006*x1*x4 + 0.001*x2**2 - 0.002*x3**2 + 0.027*x3*x4)/(-0.027*x0**3 - 0.06*x0**2*x1 + 0.042*x0**2*x2 + 0.092*x0**2*x3 + 0.058*x0**2*x4 - 0.067*x0**2 - 0.08*x0*x1**2 + 0.112*x0*x1*x2 + 0.135*x0*x1*x3 + 0.052*x0*x1*x4 + 0.02*x0*x1 + 0.022*x0*x2**2 - 0.201*x0*x2*x3 - 0.068*x0*x2*x4 + 0.134*x0*x2 - 0.025*x0*x3**2 - 0.238*x0*x3*x4 - 0.048*x0*x3 + 0.097*x0*x4**2 + 0.129*x0*x4 + 0.038*x0 + 0.027*x1**3 - 0.054*x1**2*x2 - 0.026*x1**2*x3 + 0.086*x1**2*x4 + 0.001*x1**2 - 0.013*x1*x2**2 + 0.069*x1*x2*x3 - 0.078*x1*x2*x4 - 0.001*x1*x2 + 0.028*x1*x3**2 - 0.255*x1*x3*x4 + 0.012*x1*x3 + 0.109*x1*x4**2 - 0.033*x1*x4 - 0.055*x1 - 0.007*x2**3 + 0.005*x2**2*x3 + 0.013*x2**2 - 0.604*x2*x3**2 + 0.283*x2*x3*x4 - 0.101*x2*x3 + 0.435*x2*x4**2 + 0.045*x2*x4 - 0.006*x2 - 0.028*x3**3 + 0.134*x3**2*x4 + 0.03*x3**2 + 0.033*x3*x4**2 + 0.018*x3*x4 + 0.005*x3 - 0.087*x4**3 - 0.061*x4**2 - 0.051*x4 - 0.008),0.01564288613625123,0.018111974895505742,0.0045062057778632965,0.9996789063880219,0.9999796941094875,False,4858.916,77,28,0.001469271785194009,0.9999978412404212,0.9997074826483863,-0.702*x0*x1/(0.018*x0**2*x3 - 0.056*x0**2 + 0.005*x0*x1*x3 - 0.006*x0*x1*x4 - 0.011*x0*x2*x3 + 0.04*x0*x2 - 0.008*x0*x3**2 - 0.006*x0*x3*x4 + 0.044*x0*x4 + 0.022*x0 - 0.01*x1**2*x3 + 0.018*x1**2*x4 - 0.02*x1*x2**2 + 0.026*x1*x2*x3 - 0.012*x1*x2*x4 - 0.005*x1*x3*x4 - 0.011*x1*x4**2 + 0.031*x2**2 - 0.701*x2*x3**2 + 0.008*x2*x3*x4 - 0.047*x2*x3 + 0.703*x2*x4**2 + 0.01*x3**2 + 0.007*x3*x4**2 + 0.01*x3*x4 - 0.037*x4**2 - 0.004*x4),577085
1,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_13_17,1/(4*pi*epsilon*c**2)*2*I/r,(0.002*x0**2 - 0.002*x0*x1 + 0.001*x0*x2*x3 - 0.005*x0*x2 + 0.001*x0*x3 - 0.003*x1**3 + 0.003*x1**2*x2 + 0.026*x1**2 - 0.036*x1*x2 - 0.001*x1*x3 - 0.067*x1 + 0.001*x2**2 - 0.003*x2*x3 + 0.133*x2 + 0.001*x3**2 + 0.001*x3 + 0.048)/(0.004*x0**3 - 0.027*x0**2*x1 - 0.009*x0**2*x2 - 0.004*x0**2*x3 + 0.022*x0**2 + 0.056*x0*x1**2 + 0.017*x0*x1*x2 + 0.931*x0*x1*x3 - 0.075*x0*x1 + 0.009*x0*x2**2 - 0.021*x0*x2*x3 - 0.013*x0*x2 + 0.003*x0*x3**2 - 0.297*x0*x3 + 0.028*x0 - 0.002*x1**3 + 0.007*x1**2*x2 + 0.049*x1**2*x3 - 0.061*x1**2 - 0.009*x1*x2**2 + 0.024*x1*x2*x3 + 0.076*x1*x2 - 0.001*x1*x3**2 - 0.118*x1*x3 - 0.008*x1 + 0.002*x2**3 + 0.009*x2**2*x3 - 0.023*x2**2 - 0.009*x2*x3**2 - 0.027*x2*x3 - 0.006*x2 - 0.002*x3**3 + 0.024*x3**2 + 0.062*x3 - 0.012),0.014917369397905684,0.014728636205685038,0.007675636063747251,0.9997696143388708,0.9999410846110169,True,98.037,70,22,0.015304156152844224,0.9997657828044494,0.9996094941825385,(0.004*x1**2 - 0.007*x1*x2 - 0.018*x1 + 0.053*x2 + 0.016)/(0.088*x0*x1**2 + 0.651*x0*x1*x3 - 0.248*x0*x1 + 0.011*x0*x2*x3 - 0.021*x0*x2 - 0.408*x0*x3 + 0.248*x0 - 0.022*x1**2*x2 + 0.113*x1**2*x3 - 0.027*x1**2 + 0.088*x1*x2 - 0.349*x1*x3 - 0.004*x2**2 - 0.02*x2*x3 + 0.327*x3 - 0.168),52281
2,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_13_23,rho_c_0/sqrt(1-v**2/c**2),(-0.001*x0*x1*sqrt(Abs((-0.005*x0 + 0.002*x1 + 0.218*x2)/(0.004*x0 - 0.726*x1 + 0.674*x2 + 0.14))) + 1.474*x0*x2*sqrt(Abs((-0.005*x0 + 0.002*x1 + 0.218*x2)/(0.004*x0 - 0.726*x1 + 0.674*x2 + 0.14))) + 0.001*x0*sqrt(Abs((-0.005*x0 + 0.002*x1 + 0.218*x2)/(0.004*x0 - 0.726*x1 + 0.674*x2 + 0.14))) - 0.012*x1*x2*sqrt(Abs((-0.005*x0 + 0.002*x1 + 0.218*x2)/(0.004*x0 - 0.726*x1 + 0.674*x2 + 0.14))) + 0.007*x2*sqrt(Abs((-0.005*x0 + 0.002*x1 + 0.218*x2)/(0.004*x0 - 0.726*x1 + 0.674*x2 + 0.14))))/(-0.013*x0 + 0.408*x1 + 0.844*x2 - 0.335*sqrt(Abs((-0.005*x0 + 0.002*x1 + 0.218*x2)/(0.004*x0 - 0.726*x1 + 0.674*x2 + 0.14))) + 0.09),0.02703320231752298,0.027615218143033145,0.0025611680254135783,0.9992266021407331,0.9999934404183456,False,4049.157,23,9,0.0011038494592501057,0.9999987815163713,0.9992313810073308,0.685705569468413*x0*x2*sqrt(Abs(x2/(-0.723*x1 + 0.68*x2 + 0.122)))/(0.425*x1 + 0.835*x2 - 0.156053916964618*sqrt(Abs(x2/(-0.723*x1 + 0.68*x2 + 0.122))) + 0.095),999595
3,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_13_34,rho_c_0*v/sqrt(1-v**2/c**2),-0.002*x0**2 + 1.002*x0*x1 - 0.001*x0*exp((-0.295*x0**2 - 0.065*x0*x2)/(-0.058*x0**2 + 0.207*x0*x1 - 0.116*x0*x2 - 0.203*x0 - 0.425*x1**2 + 0.255*x1*x2 + 0.606*x1 - 0.011*x2**2 - 0.431*x2 + 0.317)) - 0.007*x1*x2 + 0.04*x1*exp((-0.295*x0**2 - 0.065*x0*x2)/(-0.058*x0**2 + 0.207*x0*x1 - 0.116*x0*x2 - 0.203*x0 - 0.425*x1**2 + 0.255*x1*x2 + 0.606*x1 - 0.011*x2**2 - 0.431*x2 + 0.317)) - 0.001*x2*exp((-0.295*x0**2 - 0.065*x0*x2)/(-0.058*x0**2 + 0.207*x0*x1 - 0.116*x0*x2 - 0.203*x0 - 0.425*x1**2 + 0.255*x1*x2 + 0.606*x1 - 0.011*x2**2 - 0.431*x2 + 0.317)) - 0.001*x2 - 0.004*exp((-0.295*x0**2 - 0.065*x0*x2)/(-0.058*x0**2 + 0.207*x0*x1 - 0.116*x0*x2 - 0.203*x0 - 0.425*x1**2 + 0.255*x1*x2 + 0.606*x1 - 0.011*x2**2 - 0.431*x2 + 0.317)),0.02409390579351588,0.02468507610208392,0.003070423462121669,0.9994035805201711,0.9999905724997632,False,4020.698,34,19,0.002335695784567838,0.999994544525202,0.9994082061523692,0.98*x0*x1 + 0.094*x1*exp((-0.199*x0**2 - 0.209*x0*x2 - 0.01*x1**2 - 0.015*x1)/(-0.041*x0**2 + 0.266*x0*x1 - 0.18*x0*x2 - 0.257*x0 - 0.423*x1**2 + 0.293*x1*x2 + 0.562*x1 - 0.054*x2**2 - 0.407*x2 + 0.283)) - 0.109*x1 + 0.005*x2 - 0.025*exp((-0.199*x0**2 - 0.209*x0*x2 - 0.01*x1**2 - 0.015*x1)/(-0.041*x0**2 + 0.266*x0*x1 - 0.18*x0*x2 - 0.257*x0 - 0.423*x1**2 + 0.293*x1*x2 + 0.562*x1 - 0.054*x2**2 - 0.407*x2 + 0.283)),999400
4,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_15_4,-mom*B*cos(theta),(-0.001*x0**3*x1 + 0.001*x0**3*x2 + 0.001*x0**2*x1**2 + 0.001*x0**2*x1*x2 - 0.003*x0**2*x1 - 0.002*x0**2*x2**2 + 0.001*x0**2*x2 + 0.005*x0**2 - 0.001*x0*x1**3 + 0.003*x0*x1**2 + 0.175*x0*x1*x2**2 - 1.107*x0*x1*x2 + 1.295*x0*x1 + 0.006*x0*x2**3 - 0.026*x0*x2**2 + 0.019*x0*x2 + 0.001*x1**3*x2 - 0.001*x1**3 - 0.002*x1**2*x2**2 + 0.004*x1**2*x2 + 0.002*x1*x2**3 - 0.008*x1*x2**2 + 0.001*x1*x2 + 0.003*x1 - 0.003*x2**3 + 0.005*x2**2 + 0.003*x2 + 0.024)/(0.001*x0**2 - 0.001*x0 - 0.001*x1**2 + 0.002*x1*x2 + 0.009*x1 - 0.051*x2**2 + 0.306*x2 - 0.951),0.014360219773048704,0.0141712005373397,0.0065696732299319605,0.9998009275746419,0.9999568393936519,True,46.511,42,6,0.0062528954688055105,0.9999609012982562,0.9998008864537351,(0.179*x0*x1*x2**2 - 1.123*x0*x1*x2 + 1.32*x0*x1)/(-0.051*x2**2 + 0.32*x2 - 0.946),29365
5,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_15_5,-p_d*Ef*cos(theta),-0.003*x0*x1*x2 - 1.004*x0*x1*cos(0.998*x2 + 0.005) + 0.003*x0*x2 - 0.001*x0*cos(0.998*x2 + 0.005) - 0.001*x1**2*x2 - 0.001*x1**2*cos(0.998*x2 + 0.005) + 0.002*x1*x2**2 + 0.004*x1*x2*cos(0.998*x2 + 0.005) - 0.001*x2**3 + 0.002*x2**2,0.012400174212102055,0.01264286982080701,0.0011294045880149302,0.999835369708453,0.9999987244452766,True,386.124,34,2,0.00015842929994125477,0.9999999749001569,0.9998410817371914,-1.0*x0*x1*cos(1.0*x2),181243
6,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_21_32,q/(4*pi*epsilon*r*(1-v/c)),(-0.006*x0**2 + 0.007*x0*x1 + 0.01*x0*x2 - 0.031*x0*x3 - 0.062*x0*x4 - 0.012*x0 - 0.002*x1*x2 + 0.006*x1*x3 - 0.001*x2**2 + 0.009*x2*x3 + 0.002*x2 - 0.01*x3**2 - 0.005*x3*x4 - 0.001*x3)/(0.003*x0**3 - 0.011*x0**2*x1 - 0.007*x0**2*x2 - 0.007*x0**2*x3 - 0.004*x0**2*x4 + 0.007*x0**2 - 0.002*x0*x1**2 - 0.03*x0*x1*x2 + 0.072*x0*x1*x3 - 0.003*x0*x1*x4 - 0.016*x0*x1 - 0.004*x0*x2**2 + 0.043*x0*x2*x3 + 0.001*x0*x2*x4 - 0.025*x0*x2 - 0.034*x0*x3**2 + 0.014*x0*x3*x4 - 0.006*x0*x3 + 0.001*x0*x4**2 + 0.004*x0*x4 + 0.023*x0 - 0.002*x1**3 + 0.049*x1**2*x2 - 0.014*x1**2*x3 + 0.013*x1**2*x4 + 0.004*x1**2 + 0.066*x1*x2**2 + 0.535*x1*x2*x3 - 0.797*x1*x2*x4 - 0.001*x1*x2 + 0.098*x1*x3**2 - 0.085*x1*x3*x4 - 0.019*x1*x3 + 0.006*x1*x4**2 - 0.014*x1*x4 - 0.025*x1 - 0.003*x2**3 - 0.012*x2**2*x3 + 0.011*x2**2*x4 + 0.043*x2**2 + 0.13*x2*x3**2 - 0.08*x2*x3*x4 - 0.054*x2*x3 + 0.008*x2*x4**2 - 0.047*x2*x4 + 0.047*x2 + 0.033*x3**3 - 0.045*x3**2*x4 + 0.014*x3**2 + 0.014*x3*x4**2 + 0.021*x3*x4 + 0.033*x3 - 0.002*x4**3 + 0.013*x4**2 - 0.055*x4 + 0.018),0.012056363907827458,0.01576128270670025,0.006022919009681759,0.9997483705575354,0.9999637244466029,False,4899.294,77,17,0.001140300082888456,0.999998699715721,0.9997732298352974,-0.056*x0*x4/(-0.001*x0*x1 + 0.002*x0*x2 - 0.003*x0 + 0.706*x1*x2*x3 - 0.706*x1*x2*x4 + 0.003*x1*x3**2 - 0.001*x1*x3*x4 - 0.005*x1*x3 + 0.004*x1*x4 + 0.012*x2*x3**2 - 0.041*x2*x3 + 0.031*x2 - 0.001*x3**3 + 0.024*x3 - 0.001*x4 - 0.024),576536
7,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_24_17,sqrt(omega**2/c**2-pi**2/d**2),(0.751*x0*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.031*x1*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) + 0.321*x2*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)))/(0.044*x0*x1 + 0.054*x0*x2 - 0.029*x0*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.003*x0 - 0.092*x1**2 + 0.053*x1*x2 - 0.147*x1*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.135*x1 + 0.12*x2**2 - 0.955*x2*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.02*x2 - 0.085*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.093),0.04027266545124641,0.04016935462392875,0.006140879812500403,0.998435380911313,0.9999622895951285,False,4039.246,28,28,0.006140879812500403,0.9999622895951285,0.998436759750414,(0.751*x0*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.031*x1*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) + 0.321*x2*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)))/(0.044*x0*x1 + 0.054*x0*x2 - 0.029*x0*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.003*x0 - 0.092*x1**2 + 0.053*x1*x2 - 0.147*x1*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.135*x1 + 0.12*x2**2 - 0.955*x2*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.02*x2 - 0.085*sqrt(Abs(0.002*x0**2 - 0.008*x0*x1 + 0.016*x0*x2 - 0.012*x0 + 0.011*x1**2 - 0.029*x1*x2 + 0.01*x1 + 0.015*x2**2 - 0.015*x2)) - 0.093),997587
8,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_27_16,epsilon*c*Ef**2,0.001*x0**2*x1**2 + 0.002*x0*x1**2*x2 + 0.998*x0*x1*x2**2 + 0.001*x0*x2**3 - 0.001*x1**3*x2 + 0.001*x2**3,0.014393693048633102,0.014531005064868839,0.0013655660594215453,0.9997855683700723,0.9999981352293373,True,2.849,32,1,1.3505744859352995e-05,0.9999999998175949,0.9997926230387253,1.0*x0*x1*x2**2,2217
9,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,1,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,feynman_II_27_18,epsilon*Ef**2,(-0.004*x0**3*x1 + 0.003*x0**3*cos(0.025*x0**2) - 0.353*x0**2*x1**2 + 0.001*x0**2*x1*cos(0.025*x0**2) + 0.001*x0**2*x1 - 0.936*x0*x1**3 + 0.001*x0*x1**2*cos(0.025*x0**2) - 0.001*x0*x1 + 0.009*x1**3*cos(0.025*x0**2) - 0.003*x1**3 + 0.001*x1**2 - 0.001*x1*cos(0.025*x0**2) - 0.001*cos(0.025*x0**2) - 0.001)/(-0.362*x0 - 0.932*x1 + 0.012*cos(0.025*x0**2) + 0.004),0.015597854634123325,0.015826754621462196,0.0004264206295798396,0.999753176235435,0.9999998181654467,False,3153.244,33,5,0.00027555384728242336,0.9999999240700772,0.9997537697396662,(-0.357*x0**2*x1**2 - 0.934*x0*x1**3)/(-0.357*x0 - 0.934*x1),999942
