,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_II_11_3,0.01564288613625123,0.018111974895505742,0.0,4858.916
1,feynman_II_13_17,0.014917369397905684,0.014728636205685038,1.0,98.037
2,feynman_II_13_23,0.02703320231752298,0.027615218143033145,0.0,4049.157
3,feynman_II_13_34,0.02409390579351588,0.02468507610208392,0.0,4020.698
4,feynman_II_15_4,0.014360219773048704,0.0141712005373397,1.0,46.511
5,feynman_II_15_5,0.012400174212102055,0.01264286982080701,1.0,386.124
6,feynman_II_21_32,0.012056363907827458,0.01576128270670025,0.0,4899.294
7,feynman_II_24_17,0.04027266545124641,0.04016935462392875,0.0,4039.246
8,feynman_II_27_16,0.014393693048633102,0.014531005064868839,1.0,2.849
9,feynman_II_27_18,0.015597854634123325,0.015826754621462196,0.0,3153.244
10,feynman_II_2_42,0.009057131633615208,0.010244963711066932,1.0,28.145
11,feynman_II_34_11,0.014743407825819385,0.014762949680298624,1.0,19.066
12,feynman_II_34_2,0.01786678054375462,0.01717928403815803,0.0,4014.765
13,feynman_II_34_29a,0.016891860492997297,0.016151458615114585,0.0,3988.694
14,feynman_II_34_29b,0.01323100788676459,0.013918667166593174,1.0,39.448
15,feynman_II_34_2a,0.01673105306009034,0.015946100971476924,0.0,4001.899
16,feynman_II_35_18,0.020839661069253945,0.022857787629097324,0.0,4814.667
17,feynman_II_35_21,0.018020653697075593,0.018514979175904327,0.0,4802.785
18,feynman_II_36_38,0.018495303749627812,0.030716764463352683,0.0,4813.729
